# Undirected graph (each unordered node pair is saved once): MetroFlow station adjacency network
# Time window: 07:00-09:00
# Nodes: 302 Edges: 349
# FromNodeId	ToNodeId
0	179
0	181
0	266
0	292
1	264
1	269
2	6
2	126
2	271
2	295
3	181
3	206
3	279
3	283
3	298
4	40
4	135
4	142
4	143
4	225
5	8
5	39
5	262
5	282
6	9
6	246
6	297
7	9
7	68
7	263
7	278
8	92
8	271
8	282
8	287
8	295
9	165
9	263
10	189
10	213
10	299
11	12
11	267
12	13
13	53
13	99
14	32
14	258
15	16
15	99
16	298
17	22
17	30
18	264
19	22
19	44
20	262
20	273
21	280
21	301
23	272
23	301
24	98
24	272
25	26
25	98
26	27
27	28
28	29
30	33
31	140
31	172
33	36
34	192
34	275
35	42
35	218
36	37
37	52
38	218
39	207
39	237
39	290
40	218
41	215
41	247
42	87
43	44
43	218
45	46
46	47
47	48
48	49
49	50
50	51
51	88
53	253
54	167
54	294
55	56
56	57
57	88
58	59
58	294
59	91
60	61
60	265
61	62
62	281
63	104
63	216
64	65
64	277
65	269
66	100
66	108
67	271
67	279
68	108
69	70
69	264
70	71
71	128
72	289
72	293
73	74
73	128
74	127
75	76
75	288
76	77
77	78
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
88	89
89	210
90	160
90	169
91	93
92	246
93	96
94	125
94	276
95	103
95	105
96	277
97	178
97	180
100	104
101	102
102	103
105	106
106	107
107	292
109	110
110	111
111	112
112	113
113	114
114	115
115	116
116	117
117	118
118	119
119	120
120	121
121	122
122	123
123	278
124	125
124	140
126	274
127	159
129	268
130	270
130	277
131	132
131	267
132	133
133	134
134	297
136	160
137	266
137	279
138	139
138	273
139	264
140	155
140	159
141	142
141	264
143	144
144	145
145	146
146	147
147	148
148	149
149	150
150	151
151	152
152	153
154	187
154	286
155	156
156	158
157	161
157	286
158	162
161	163
162	164
163	166
164	168
165	274
166	172
167	266
168	173
169	170
170	171
171	263
174	274
174	293
175	176
176	177
177	178
179	281
180	294
182	183
182	294
183	270
184	206
184	232
185	256
185	270
186	293
186	295
187	280
188	262
188	289
189	213
189	250
189	252
190	208
190	254
191	259
191	284
192	259
193	194
193	259
194	195
195	196
196	197
197	198
198	199
199	200
200	201
201	202
202	203
203	204
204	205
207	209
208	214
210	216
211	212
211	285
212	270
214	228
215	294
217	219
217	277
219	225
220	221
221	222
222	223
223	224
224	233
226	233
226	241
227	286
227	301
229	230
229	286
230	264
231	232
231	248
234	235
234	269
235	256
236	256
236	261
237	287
238	260
239	240
239	290
240	264
241	243
242	259
242	272
243	244
244	248
245	249
245	272
246	279
246	298
249	251
250	252
250	265
251	254
253	296
255	278
255	288
256	290
257	260
257	271
257	279
257	287
258	291
260	261
260	285
261	285
261	287
262	290
263	297
266	285
267	268
273	280
273	289
274	278
275	280
275	289
275	293
279	283
281	292
282	289
282	295
283	292
284	288
284	301
288	293
289	295
291	299
293	295
297	300
298	300
