# MetroFlow bilayer station network
# Time window: 09:00-17:00
# Nodes: 302
# NodeId	StationId	StationName	Longitude	Latitude	CommutingActivity	NoncommutingActivity	CommutingShare	NoncommutingShare
0	2048	Longcao Road	121.439715575	31.171622034	545320	2348343	0.188453182005	0.811546817995
1	2049	Pudian Road	121.527848943	31.224457288	1087934	2576762	0.296868826227	0.703131173773
2	2050	Jing'an Temple	121.441840398	31.225058466	2163410	8167024	0.209421017549	0.790578982451
3	2051	Yishan Road	121.422615594	31.188486856	1167256	4159605	0.21912642361	0.78087357639
4	2052	Longyang Road	121.552971357	31.205156342	605296	3660358	0.141899929061	0.858100070939
5	2053	Xintiandi	121.470561773	31.218292459	492786	2175092	0.184710845099	0.815289154901
6	2054	Jiangsu Road	121.427966595	31.221768963	1067893	3729673	0.222590580307	0.777409419693
7	2055	Caoyang Road	121.413156251	31.241192686	758777	3603355	0.173946363842	0.826053636158
8	2056	South Shaanxi Road	121.455464091	31.21914496	1504874	6099038	0.197907866372	0.802092133628
9	2057	Longde Road	121.418836726	31.232586009	385414	1196888	0.243578027456	0.756421972544
10	508	Jianchuan Road	121.411962619	31.028392219	104526	677472	0.133665303492	0.866334696508
11	1043	Hongqiao Terminal 1	121.342591804	31.193518019	103844	606756	0.146135660006	0.853864339994
12	1044	Shanghai Zoo	121.363529229	31.192230792	120585	924653	0.115366069737	0.884633930263
13	1045	Longxi Road	121.375244457	31.196193522	142682	680494	0.173331098088	0.826668901912
14	512	Wenjing Road	121.376150158	31.005526962	49489	97256	0.337244880575	0.662755119425
15	1047	Yili Road	121.39921421	31.201064069	355284	1147159	0.23647086778	0.76352913222
16	1048	Songyuan Road	121.407543286	31.198348293	251979	1011389	0.199450199783	0.800549800217
17	1628	Shanghai Wild Animal Park	121.695438606	31.052487249	91922	659335	0.122357595337	0.877642404663
18	943	Middle Yanggao Road	121.544387644	31.229674097	373197	1591847	0.18991788479	0.81008211521
19	1626	Hangtou East	121.613286958	31.05724005	47883	215157	0.182036952555	0.817963047445
20	1055	Yuyuan Garden	121.482864468	31.229964559	532533	2959691	0.152491077319	0.847508922681
21	1058	North Sichuan Road	121.479642061	31.253898054	424341	1613680	0.208212280443	0.791787719557
22	1627	Xinchang	121.644868866	31.04780769	180994	771833	0.1899547347	0.8100452653
23	1060	Youdian Xincun	121.489789828	31.270427704	221185	974443	0.184994831168	0.815005168832
24	1062	Tongji University	121.501792382	31.283944779	280272	1284132	0.179155767947	0.820844232053
25	1064	Wujiaochang	121.510067542	31.2997292	265826	1986669	0.118014024448	0.881985975552
26	1065	Jiangwan Stadium	121.509729601	31.305442827	437681	2067622	0.174701822494	0.825298177506
27	1066	Sanmen Road	121.50401182	31.315050515	112493	374600	0.230947683502	0.769052316498
28	1067	East Yingao Road	121.502525459	31.323799384	64364	283150	0.185212682079	0.814787317921
29	1068	New Jiangwan City	121.502697658	31.33112066	164633	732052	0.183601822268	0.816398177732
30	1629	Huinan	121.757556095	31.055964545	360571	1373914	0.207883608103	0.792116391897
31	1246	Donglu Road	121.57507366	31.284688952	178434	651241	0.215064935065	0.784935064935
32	513	Minhang Development Zone	121.365118845	31.002572281	80825	222070	0.266841644794	0.733158355206
33	1630	Huinan East	121.789523971	31.02841678	28486	146660	0.162641453416	0.837358546584
34	837	Zhongxing Road	121.464500701	31.255223204	324297	1310044	0.198426766507	0.801573233493
35	1161	Xiuyan Road	121.594253458	31.140388537	190902	799013	0.192846860589	0.807153139411
36	1631	Shuyuan	121.846216134	30.961601584	89742	324048	0.216878126586	0.783121873414
37	1632	Lingang Avenue	121.90670309	30.925884482	43949	315540	0.122254088442	0.877745911558
38	1159	Yuqiao	121.566686634	31.160429607	241314	1038155	0.188604804024	0.811395195976
39	2031	Madang Road	121.472724523	31.211562334	437279	1800177	0.195435798514	0.804564201486
40	1622	Middle Huaxia Road	121.578857186	31.178233461	21651	92910	0.188991017886	0.811008982114
41	1156	East Sanlin	121.518661386	31.148597133	178656	779710	0.186417297776	0.813582702224
42	1162	Kangxin Highway	121.613030242	31.132655073	89743	469140	0.160575648213	0.839424351787
43	1624	East Zhoupu	121.602754092	31.112309544	208507	982846	0.175016976496	0.824983023504
44	1625	Hesha Hangcheng	121.607093362	31.079974585	214796	744821	0.223835134225	0.776164865775
45	1114	Huaqiao	121.099702972	31.300398755	182626	814428	0.183165605875	0.816834394125
46	1115	Guangming Road	121.112634001	31.298066751	73746	378224	0.163165696838	0.836834303162
47	1116	Zhaofeng Road	121.145740322	31.290849897	139482	575045	0.195208858448	0.804791141552
48	1117	Anting	121.157449346	31.29037688	202089	955354	0.174599526715	0.825400473285
49	1118	Shanghai Automobile City	121.176250907	31.28729941	97724	326923	0.230129966772	0.769870033228
50	1119	East Changji Road	121.195922139	31.295550108	55044	219290	0.200645927956	0.799354072044
51	1120	Shanghai Circuit	121.221647938	31.33387003	41596	296684	0.12296322573	0.87703677427
52	1633	Dishui Lake	121.925777167	30.909305386	96710	616709	0.135558486668	0.864441513332
53	1020	Longbai Xincun	121.365793331	31.179095825	272776	1103158	0.198247881076	0.801752118924
54	1153	Longyao Road	121.455131976	31.161590898	80476	326891	0.197551593526	0.802448406474
55	1131	North Jiading	121.232947442	31.393474009	357205	1499565	0.192379777786	0.807620222214
